Year,Place,Athlete,Country,Time,Gender
2018,2,Lucy Charles,GBR,8:36:32,Female
2017,2,Lucy Charles,GBR,8:59:38,Female
2016,2,Mirinda Carfrae,AUS,9:10:30,Female
2015,2,Rachel Joyce,GBR,9:10:59,Female
2014,2,Daniela Ryf,SUI,9:02:57,Female
2013,2,Rachel Joyce,GBR,8:57:28,Female
2012,2,Caroline Steffen,SUI,9:16:58,Female
2011,2,Mirinda Carfrae,AUS,8:57:57,Female
2010,2,Caroline Steffen,SUI,9:06:00,Female
2009,2,Mirinda Carfrae,AUS,9:13:59,Female
2008,2,Yvonne van Vlerken,NED,9:21:20,Female
2007,2,Samantha McGlone,CAN,9:14:04,Female
2006,2,Desiree Ficker,USA,9:24:02,Female
2005,2,Michellie Jones,AUS,9:11:51,Female
2004,2,Heather Fuhr,CAN,9:56:19,Female
2003,2,Natascha Badmann,SUI,9:17:08,Female
2002,2,Nina Kraft,GER,9:14:24,Female
2001,2,Lori Bowden,CAN,9:32:59,Female
2000,2,Lori Bowden,CAN,9:29:05,Female
1999,2,Karen Smyers,USA,9:20:40,Female
1998,2,Lori Bowden,CAN,9:27:19,Female
1997,2,Lori Bowden,CAN,9:41:42,Female
1996,2,Natascha Badmann,SUI,9:11:19,Female
1995,2,Isabelle Mouthon,FRA,9:25:13,Female
1994,2,Karen Smyers,USA,9:28:08,Female
1993,2,Erin Baker,NZL,9:08:04,Female
1992,2,Julie Anne White,CAN,9:21:40,Female
1991,2,Erin Baker,NZL,9:23:37,Female
1990,2,Paula Newby-Fraser,ZIM,9:20:01,Female
1989,2,Sylviane Puntous,CAN,9:21:55,Female
1988,2,Erin Baker,NZL,9:12:14,Female
1987,2,Sylviane Puntous,CAN,9:36:57,Female
1986,2,Sylviane Puntous,CAN,9:53:13,Female
1985,2,Elizabeth Bulman,USA,10:26:55,Female
1984,2,Patricia Puntous,CAN,10:27:28,Female
1983,2,Patricia Puntous,CAN,10:49:17,Female
1982,2,Jo Ann Dahlkoetter,USA,10:58:21,Female
1982,2,Julie Moss,USA,11:10:09,Female
1981,2,Sally Edwards,USA,12:37:25,Female
1980,2,Eve Anderson,USA,15:40:59,Female
2019,3,Sarah Crowley,AUS,8:48:13,Female
2018,3,Anne Haug,GER,8:41:57,Female
2017,3,Sarah Crowley,AUS,9:01:38,Female
2016,3,Heather Jackson,USA,9:11:32,Female
2015,3,Liz Blatchford,GBR,9:14:52,Female
2014,3,Rachel Joyce,GBR,9:04:23,Female
2013,3,Liz Blatchford,GBR,9:03:35,Female
2012,3,Mirinda Carfrae,AUS,9:21:41,Female
2011,3,Leanda Cave,GBR,9:03:29,Female
2010,3,Julie Dibens,GBR,9:10:04,Female
2009,3,Virginia Berasategui,ESP,9:15:28,Female
2008,3,Sandra Wallenhorst,GER,9:22:52,Female
2007,3,Kate Major,AUS,9:19:13,Female
2006,3,Lisa Bentley,CAN,9:25:18,Female
2005,3,Kate Major,AUS,9:12:39,Female
2004,3,Kate Major,AUS,10:01:56,Female
2003,3,Nina Kraft,GER,9:17:16,Female
2002,3,Lori Bowden,CAN,9:22:27,Female
2001,3,Nina Kraft,GER,9:41:01,Female
2000,3,Fernanda Keller,BRA,9:31:29,Female
1999,3,Fernanda Keller,BRA,9:24:30,Female
1998,3,Fernanda Keller,BRA,9:28:29,Female
1997,3,Fernanda Keller,BRA,9:50:02,Female
1996,3,Karen Smyers,USA,9:19:13,Female
1995,3,Fernanda Keller,BRA,9:37:48,Female
1994,3,Fernanda Keller,BRA,9:43:30,Female
1993,3,Susan Latshaw,USA,9:20:40,Female
1992,3,Thea Sybesma,NED,9:26:57,Female
1991,3,Sarah Coope,GBR,9:33:20,Female
1990,3,Terri Schneider,USA,10:00:34,Female
1989,3,Kirsten Hanssen,USA,9:24:31,Female
1988,3,Kirsten Hanssen,USA,9:37:25,Female
1987,3,Paula Newby-Fraser,ZIM,9:40:37,Female
1986,3,Joanne Ernst,USA,10:00:07,Female
1985,3,Paula Newby-Fraser,ZIM,10:31:04,Female
1984,3,Julie Olson,USA,10:38:10,Female
1983,3,Eva Ueltzen,USA,11:01:49,Female
1982,3,Sally Edwards,USA,11:03:00,Female
1982,3,Lyn Brooks,USA,11:51:00,Female
1981,3,Lyn Brooks,USA,12:42:15,Female
